file,line,scope,source,flags,v8_verdict,v8_worst_attack,v8_ms_15k,v8_ms_30k,v8_ms_60k,jsc_verdict,jsc_worst_attack,jsc_ms_15k,jsc_ms_30k,jsc_ms_60k,disposition
apps/mobile/components/files/FilePreviewRenderers.tsx,50,renderer closure,^\/workspace\/,,linear,"(""/workspace/""+""\n"")*",0.0,0.0,1.0,linear,"""/workspace/""+run(""a"")+""\u2028""+x",0.0,0.0,0.0,linear
apps/mobile/components/files/FilePreviewRenderers.tsx,892,renderer closure,"^data:[^;]+;base64,(.+)$",,linear,"AST ""[^;]+"": (prefix)*",0.0,0.0,0.4,linear,"AST ""[^;]+"": prefix+x+run(""\n"")+stop",0.0,0.2,0.1,linear
apps/mobile/components/files/FilePreviewRenderers.tsx,1287,renderer closure,"^data:[^;]+;base64,(.+)$",,linear,"AST ""[^;]+"": (prefix)*",0.0,0.0,0.4,linear,"AST ""[^;]+"": prefix+x+run(""\n"")+stop",0.0,0.2,0.1,linear
apps/mobile/components/markdown/code-block.tsx,41,renderer closure,\s+,,linear,"AST ""\\s+"": prefix+run("" "")+""\u2028""+x",0.0,0.0,0.6,linear,"AST ""\\s+"": prefix+x+run(""a"")+""\u2028""+x",0.0,0.1,0.0,linear
apps/mobile/components/markdown/mermaid/mermaid-html.ts,85,renderer closure,UnknownDiagramError,No diagram type detected|,linear,"run(""0"")+stop",0.0,0.3,0.0,linear,"run("" "")+stop",0.1,0.0,0.0,linear
apps/mobile/components/markdown/mermaid/mermaid-html.ts,93,renderer closure,"viewBox=""(-?[\d.eE+-]+)[ ,]+(-?[\d.eE+-]+)[ ,]+([\d.eE+-]+)[ ,]+([\d.eE+-]+)""",,linear,"run(""a"")+stop",0.0,0.0,0.9,linear,"AST ""[\\d.eE+-]+"": prefix+x+run("" "")+""\r""+x",0.0,0.0,4.2,linear
apps/mobile/components/session/tool/shared/code-card.tsx,146,tool renderers,"^['""](.*)['""]$",,linear,"AST "".*"": prefix+x+run("" "")+""\u2029""+x",0.0,0.0,0.5,linear,"AST "".*"": prefix+run(""a"")+""\u2029""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/code-card.tsx,192,tool renderers,"^['""](.*)['""]$",,linear,"AST "".*"": prefix+x+run("" "")+""\u2029""+x",0.0,0.0,0.5,linear,"AST "".*"": prefix+run(""a"")+""\u2029""+x",0.0,0.0,0.1,linear
apps/mobile/components/session/tool/shared/navigation.tsx,116,tool renderers,^https?:\/\/,i,linear,"(""http""+""\n"")*",0.0,0.0,0.2,linear,"(""http""+""\n"")*",0.0,0.0,0.0,linear
apps/mobile/components/session/tool/shared/registry.ts,29,tool renderers,_,g,linear,"(""_""+""\n"")*",0.4,0.3,0.8,linear,"(""_""+""\n"")*",0.0,0.1,0.1,linear
apps/mobile/components/session/tool/shared/registry.ts,30,tool renderers,-,g,linear,"(""-""+""\n"")*",2.0,0.4,1.4,linear,"(""-""+""\r\n"")*",0.0,0.0,0.1,linear
